Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2020,General Government,City Council,Administration,O002-709,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-708,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-707,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-706,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-705,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-704,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-703,City Councillor,83591.00
2020,General Government,City Council,Administration,O002-702,City Councillor,83591.00
2020,General Government,City Council,Administration,M079-701,Admin Project Assistant,73058.00
2020,General Government,City Clerk,Administration,M103-701,Vital Records Supervisor,69783.00
2020,General Government,City Clerk,Administration,M320-707,"System Administrator, Level 1",94860.00
2020,General Government,City Clerk,Administration,C107-709,Principal Clerk,51675.00
2020,General Government,City Clerk,Administration,C107-708,Principal Clerk,60669.00
2020,General Government,City Clerk,Administration,C107-707,Principal Clerk,45330.00
2020,General Government,City Clerk,Administration,C107-706,Principal Clerk,42064.00
2020,General Government,City Clerk,Administration,C107-704,Principal Clerk,44920.00
2020,General Government,City Clerk,Administration,C107-703,Principal Clerk,60669.00
2020,General Government,City Clerk,Administration,O044-701,Deputy City Clerk,124615.00
2020,General Government,City Clerk,Administration,O008-701,City Clerk,146855.00
2020,General Government,City Clerk,Administration,M273-701,Administrative Coordinator,68695.00
2019,Public Safety,Police,Traffic Enforcement,T468-054,Traffic Supervisor/A3785,10027.00
2019,Public Safety,Police,Patrol,P465-095,Police Officer,93771.00
2019,Public Safety,Police,Patrol,P465-097,Police Officer,80509.00
2019,General Government,Finance,Auditing,M180-001,Financial Analyst,94277.00
2019,General Government,Finance,Treasury,M171-705,Senior Account Clerk,62440.00
2019,Public Safety,Police,Patrol,P465-090,Police Officer,92214.00
2019,Public Safety,Electrical,Administration,C626-005,Electrician,67516.00
2019,General Government,City Clerk,Administration,M304-701,Business Prod Analyst/Prj.Mgr.,84460.00
2019,General Government,City Clerk,Administration,O008-701,City Clerk,143273.00
2019,General Government,City Clerk,Administration,O044-701,Deputy City Clerk,121575.00
2019,General Government,City Clerk,Administration,M433-701,Operations Mngr/City Cler,104724.00
2019,General Government,City Clerk,Administration,C107-703,Principal Clerk,48788.00
2019,General Government,City Clerk,Administration,C107-704,Principal Clerk,34802.00
2019,General Government,City Clerk,Administration,C107-706,Principal Clerk,33826.00
2019,General Government,City Clerk,Administration,C107-707,Principal Clerk,38276.00
2019,General Government,City Clerk,Administration,C107-708,Principal Clerk,48788.00
2019,General Government,City Clerk,Administration,C107-709,Principal Clerk,40357.00
2019,General Government,City Clerk,Administration,M103-701,Vital Records Supervisor,66129.00
2019,General Government,City Council,Administration,M079-701,Admin Project Assistant,67376.00
2019,General Government,City Council,Administration,O002-702,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-703,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-704,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-705,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-706,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-707,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-708,City Councillor,81552.00
2019,General Government,City Council,Administration,O002-709,City Councillor,81552.00
2019,General Government,City Council,Administration,M255-701,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-702,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-703,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-704,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-705,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-706,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-708,Council Aide,51650.00
2019,General Government,City Council,Administration,M255-709,Council Aide,51650.00
2019,General Government,City Council,Administration,M147-710,Executive Asst To City Council,115831.00
2019,General Government,City Council,Administration,O001-701,Mayor,121785.00
2019,General Government,Election Commission,Administration,M076-701,Asst Director/Election Comm,77541.00
2019,General Government,Election Commission,Administration,C117-053,Clerk/Clerical Aide,29004.00
2019,General Government,Election Commission,Administration,M803-701,Election Commissioner,37373.00
2019,General Government,Election Commission,Administration,M803-702,Election Commissioner,37373.00
2019,General Government,Election Commission,Administration,M803-703,Election Commissioner,31271.00
2019,General Government,Election Commission,Administration,M803-704,Election Commissioner,37373.00
2019,General Government,Election Commission,Administration,M056-701,Exec Dir/Election,117793.00
2019,General Government,Election Commission,Administration,M068-701,Operations Manager/Election,1.00
2019,General Government,Election Commission,Administration,M068-702,Operations Manager/Election,71326.00
2019,General Government,Election Commission,Administration,C110-025,Sr Clerk & Typist,45842.00
2019,General Government,Election Commission,Administration,C110-026,Sr Clerk & Typist,36673.00
2019,General Government,Election Commission,Administration,C110-706,Sr Clerk & Typist,45842.00
2019,General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M211-701,Coord. of Camb.Init.DV & GBP,80295.00
2019,General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M213-703,Research Associate,30648.00
2019,General Government,Executive,Leadership,M066-701,Asst To City Manager,105295.00
2019,General Government,Executive,Leadership,O003-701,City Manager,307308.00
2019,General Government,Executive,Leadership,O022-701,Deputy City Manager,237441.00
2019,General Government,Executive,Leadership,M070-701,Exec Asst To City Mngr,79599.00
2019,General Government,Executive,Leadership,M070-702,Exec Asst To City Mngr,78922.00
2019,General Government,Executive,Leadership,MHA -001,Housing Advocate,81989.00
2019,General Government,Executive,Leadership,M117-701,Office Manager/Executive,105295.00
2019,General Government,Executive,Leadership,M617-701,PTDM Planning Officer,99054.00
2019,General Government,Executive,Leadership,M052-701,Senior Management Analyst,105296.00
2019,General Government,Executive,Office of Equity and Inclusion,M148-701,Dir. of Equity and Inclusion,102782.00
2019,General Government,Executive,Public Information Office,M359-702,Customer Relationship Prg. Mgr,103501.00
2019,General Government,Executive,Public Information Office,M188-701,Director/Communication CommRel,127472.00
2019,General Government,Executive,Public Information Office,M265-701,Public Info Officer,109039.00
2019,General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,197319.00
2019,General Government,Finance,Assessing,C094-003,Admin Asst/Fisc/Gen/Bld/R,49752.00
2019,General Government,Finance,Assessing,M185-003,Assessment Analyst,67929.00
2019,General Government,Finance,Assessing,M185-004,Assessment Analyst,67929.00
2019,General Government,Finance,Assessing,O013-701,Assessor,123814.00
2019,General Government,Finance,Assessing,O026-701,Assessor/Commercial,118842.00
2019,General Government,Finance,Assessing,M383-001,Asst to Board of Assessors,82346.00
2019,General Government,Finance,Assessing,M386-701,Commercial Appraiser,84155.00
2019,General Government,Finance,Assessing,C088-001,Customer Service Rep/Deed Spec,57252.00
2019,General Government,Finance,Assessing,M380-701,Customer Srvc. Sup./Deed Spec.,72379.00
2019,General Government,Finance,Assessing,O327-701,Dir/Assessment,159730.00
2019,General Government,Finance,Assessing,M418-701,Mngr. of Assessing Operations,98191.00
2019,General Government,Finance,Assessing,M024-002,Sr Assistant Assessor,72971.00
2019,General Government,Finance,Assessing,M105-001,Sr. Asst Assessor/Field Operat,92187.00
2019,General Government,Finance,Assessing,M106-701,Title Examiner,44369.00
2019,General Government,Finance,Auditing,C176-018,Account Clerk,45842.00
2019,General Government,Finance,Auditing,M336-001,AccT/Financial Reporti Analyst,81509.00
2019,General Government,Finance,Auditing,M017-001,Analyst/Auditing,71083.00
2019,General Government,Finance,Auditing,O007-701,City Auditor,148714.00
2019,General Government,Finance,Auditing,M002-702,General Ledger Accountant,98191.00
2019,General Government,Finance,Auditing,C170-701,Sr. Account Clerk/Audit,57252.00
2019,General Government,Finance,Auditing,C171-702,Sr. Account Clerk/Audit,57252.00
2019,General Government,Finance,Budget,O025-701,Budget Director,159730.00
2019,General Government,Finance,Budget,M184-001,Principal Budget Analyst,83547.00
2019,General Government,Finance,Budget,m184-002,Principal Budget Analyst,91766.00
2019,General Government,Finance,Budget,M184-003,Principal Budget Analyst,91766.00
2019,General Government,Finance,Budget,M184-004,Principal Budget Analyst,86242.00
2019,General Government,Finance,Information Technology ,M141-701,Administrative Asst/IT,75522.00
2019,General Government,Finance,Information Technology ,M901-701,Asst Dir of Info Tech Admin,138270.00
2019,General Government,Finance,Information Technology ,M906-701,Asst Dir/ IT Infrastructure,138270.00
2019,General Government,Finance,Information Technology ,M344-701,Audio Visual Technician,90861.00
2019,General Government,Finance,Information Technology ,M388-701,Building Security Engineer,103501.00
2019,General Government,Finance,Information Technology ,M037-701,Chief Information Officer,163353.00
2019,General Government,Finance,Information Technology ,M705-701,Database Administrator,118109.00
2019,General Government,Finance,Information Technology ,M142-701,Enterprise Applications Specia,106910.00
2019,General Government,Finance,Information Technology ,M142-703,Enterprise Applications Specia,98791.00
2019,General Government,Finance,Information Technology ,M149-701,GIS Manager,118109.00
2019,General Government,Finance,Information Technology ,M166-701,GIS Senior Programmer  Analyst,98804.00
2019,General Government,Finance,Information Technology ,M550-701,GIS Technical Specialist,76379.00
2019,General Government,Finance,Information Technology ,M702-702,MIS Project Manager,109328.00
2019,General Government,Finance,Information Technology ,M165-701,Network Engineer L2,109328.00
2019,General Government,Finance,Information Technology ,M701-701,Network Manager,118109.00
2019,General Government,Finance,Information Technology ,M098-701,Open Data Program Manager,95293.00
2019,General Government,Finance,Information Technology ,M708-701,Proj Mngr/Business Analyst L1,103501.00
2019,General Government,Finance,Information Technology ,M708-702,Proj Mngr/Business Analyst L1,97067.00
2019,General Government,Finance,Information Technology ,M704-701,Proj Mngr/Business Analyst L2,109328.00
2019,General Government,Finance,Information Technology ,M119-703,Sr Programmer/Sys Analyst,95278.00
2019,General Government,Finance,Information Technology ,M130-702,System Administrator L2,102898.00
2019,General Government,Finance,Information Technology ,M320-702,"System Administrator, Level 1",103501.00
2019,General Government,Finance,Information Technology ,M320-706,"System Administrator, Level 1",103501.00
2019,General Government,Finance,Information Technology ,M097-701,Systems Administration Manager,116969.00
2019,General Government,Finance,Information Technology ,M204-701,Technical Support Lvl 2,103501.00
2019,General Government,Finance,Information Technology ,M131-004,Technical Support Lvl I,82106.00
2019,General Government,Finance,Information Technology ,M131-005,Technical Support Lvl I,82106.00
2019,General Government,Finance,Information Technology ,M131-006,Technical Support Lvl I,79076.00
2019,General Government,Finance,Information Technology ,M131-007,Technical Support Lvl I,77264.00
2019,General Government,Finance,Information Technology ,M706-701,Technical Support Manager,108520.00
2019,General Government,Finance,Information Technology ,MTTC-001,Technology Training Coordinator,102496.00
2019,General Government,Finance,Information Technology ,M212-701,UX Designer/Front End Develope,86950.00
2019,General Government,Finance,Information Technology ,m162-701,Web Content Specialist,87379.00
2019,General Government,Finance,Information Technology ,M252-701,Web Developer,95278.00
2019,General Government,Finance,Information Technology ,M206-701,Web Manager,118109.00
2019,General Government,Finance,Personnel,M007-001,Account Coordinator,67988.00
2019,General Government,Finance,Personnel,M334-001,Administrative Assistant,58407.00
2019,General Government,Finance,Personnel,M093-701,Asst Director/HR Administratio,117293.00
2019,General Government,Finance,Personnel,M084-001,Asst Director/HR Development,117293.00
2019,General Government,Finance,Personnel,M304-703,Business Prod Analyst/Prj.Mgr.,84460.00
2019,General Government,Finance,Personnel,M189-001,Employee Benefits Svs Rep,59748.00
2019,General Government,Finance,Personnel,M363-002,Employment Resource Spec,58407.00
2019,General Government,Finance,Personnel,M026-001,Manager/Benefits & Compensatio,98191.00
2019,General Government,Finance,Personnel,M040-701,Mngr/Training & Staff Developm,98191.00
2019,General Government,Finance,Personnel,O014-701,Personnel Director,159730.00
2019,General Government,Finance,Personnel,M199-001,Personnel Specialist,62440.00
2019,General Government,Finance,Personnel,M182-001,Personnel/Labor Svs Analyst,82346.00
2019,General Government,Finance,Personnel,M095-701,Workers' Comp Claims Spec,66891.00
2019,General Government,Finance,Purchasing,C121-001,Admin Asst/Purchasing,57058.00
2019,General Government,Finance,Purchasing,M021-001,Asst Purch Agent for Sup.& Ser,98434.00
2019,General Government,Finance,Purchasing,M377-001,Asst.Purch Agent/Design & Cons,96082.00
2019,General Government,Finance,Purchasing,C193-003,Buyer/Purchasing,57252.00
2019,General Government,Finance,Purchasing,c193-004,Buyer/Purchasing,57252.00
2019,General Government,Finance,Purchasing,C193-005,Buyer/Purchasing,57252.00
2019,General Government,Finance,Purchasing,M214-701,Construc & Sustain.Purch. Spec,66652.00
2019,General Government,Finance,Purchasing,O016-701,Purchasing Agent,147805.00
2019,General Government,Finance,Revenue,M015-701,Admin Asst/Cash Managemnt,67929.00
2019,General Government,Finance,Revenue,C094-004,Admin Asst/Fisc/Gen/Bld/R,55873.00
2019,General Government,Finance,Revenue,M074-701,Assistant Finance Director,159730.00
2019,General Government,Finance,Revenue,C173-701,Cashier Coordinator,61022.00
2019,General Government,Finance,Revenue,M806-701,Cust. Srvc Sup/Tax Title Liais,79599.00
2019,General Government,Finance,Revenue,M801-702,Cust.Srvs Sup/Online Pay Coord,79599.00
2019,General Government,Finance,Revenue,M907-702,Finance Revenue Analyst,80675.00
2019,General Government,Finance,Revenue,M057-701,Manager of Collections,98191.00
2019,General Government,Finance,Revenue,C171-707,Sr Account Clerk,55272.00
2019,General Government,Finance,Treasury,M304-702,Business Prod Analyst/Prj.Mgr.,84460.00
2019,General Government,Finance,Treasury,M503-701,Cash Reconciliation Analyst,67679.00
2019,General Government,Finance,Treasury,M132-701,Director of Payroll,98191.00
2019,General Government,Finance,Treasury,M073-701,Project/Cash Manager,82346.00
2019,General Government,Finance,Treasury,M171-704,Senior Account Clerk,62440.00
2019,General Government,General Services,General Services,C754-170,Laborer/Print Shop,31688.00
2019,General Government,General Services,General Services,C142-005,Offset Duplicating Machine Opr,55059.00
2019,General Government,General Services,General Services,M050-001,Supervisor Of Printing,92100.00
2019,General Government,Law,Administration ,C094-002,Admin Asst/Fisc/Gen/Bld/R,55873.00
2019,General Government,Law,Administration ,C094-711,Admin Asst/Fisc/Gen/Bld/R,39864.00
2019,General Government,Law,Administration ,M088-701,Assistant City Solicitor,112054.00
2019,General Government,Law,Administration ,M088-702,Assistant City Solicitor,112054.00
2019,General Government,Law,Administration ,M088-703,Assistant City Solicitor,107655.00
2019,General Government,Law,Administration ,M088-704,Assistant City Solicitor,106341.00
2019,General Government,Law,Administration ,M088-706,Assistant City Solicitor,112054.00
2019,General Government,Law,Administration ,M088-707,Assistant City Solicitor,112054.00
2019,General Government,Law,Administration ,O010-701,City Solicitor,176682.00
2019,General Government,Law,Administration ,M058-701,Deputy City Solicitor,140564.00
2019,General Government,Law,Administration ,M167-701,First Asst City Solicitor,124622.00
2019,General Government,Law,Administration ,M434-001,Office Manager/Law,86384.00
2019,General Government,Law,Administration ,M341-701,Public Records Access Officer,79223.00
2019,General Government,Mayor,Administration,M292-701,Assistant to Mayor,51250.00
2019,General Government,Mayor,Administration,M104-701,Chief Of Staff,73800.00
2019,General Government,Mayor,Administration,M293-701,Deputy Chief of Staff,63550.00
2019,General Government,Mayor,Administration,M301-702,Dir. of Constituency Services,63550.00
2019,General Government,Mayor,Administration,M886-701,Education Liaison,61500.00
2019,General Government,Mayor,Administration,M302-702,Executive Assistant to Mayor,51250.00
2019,General Government,Mayor,Administration,X230-001,Special Events Coordinator,37870.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M516-701,Community Arts Administrator,50476.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M030-701,Dir/Arts Council/Pub Cele,87283.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M524-702,Dir/Marketing & PR  Arts,33466.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M513-701,Dir/Public Arts Programm,71351.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M514-701,Director of Art Conservation,43653.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M597-701,Events Producer/CommArtsDir,66050.00
2019,General Government,Public Celebrations,Cambridge Arts Council,M515-701,Public Arts Administrator,51054.00
2019,Public Safety,Animal Commission,Administration,A209-701,Animal Control Officer,65346.00
2019,Public Safety,Animal Commission,Administration,A209-702,Animal Control Officer,30631.00
2019,Public Safety,Animal Commission,Administration,A209-703,Animal Control Officer,48233.00
2019,Public Safety,Animal Commission,Administration,A210-001,Animal Control Program Administrator,59291.00
2019,Public Safety,Animal Commission,Administration,M137-701,Dir/Animal Commission,99661.00
2019,Public Safety,Electrical,Administration,C098-001,Admin Asst/Electrical,57058.00
2019,Public Safety,Electrical,Administration,M078-001,Assistant City Electrician,103501.00
2019,Public Safety,Electrical,Administration,O015-701,City Electrician,143273.00
2019,Public Safety,Electrical,Administration,C626-002,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-007,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-008,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-009,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-010,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-111,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C626-112,Electrician,67516.00
2019,Public Safety,Electrical,Administration,C625-001,Electrician Coordinator,87812.00
2019,Public Safety,Electrical,Administration,C622-001,Electrician Coordinator/Tech S,87812.00
2019,Public Safety,Electrical,Administration,M092-701,Senior Electrical Manager,99054.00
2019,Public Safety,Emergency Communications,Communications Center,M368-701,Administrative Coordinator/ECD,64567.00
2019,Public Safety,Emergency Communications,Communications Center,M128-701,Asst.Dir. of Training & Admin.,116209.00
2019,Public Safety,Emergency Communications,Communications Center,M370-701,Chief of Operations /Emergenc,128872.00
2019,Public Safety,Emergency Communications,Communications Center,E374-001,Emerg Comm Supervisor,87349.00
2019,Public Safety,Emergency Communications,Communications Center,E374-002,Emerg Comm Supervisor,87349.00
2019,Public Safety,Emergency Communications,Communications Center,E374-003,Emerg Comm Supervisor,77891.00
2019,Public Safety,Emergency Communications,Communications Center,E374-004,Emerg Comm Supervisor,87649.00
2019,Public Safety,Emergency Communications,Communications Center,E374-005,Emerg Comm Supervisor,87349.00
2019,Public Safety,Emergency Communications,Communications Center,E374-006,Emerg Comm Supervisor,87349.00
2019,Public Safety,Emergency Communications,Communications Center,E374-007,Emerg Comm Supervisor,87349.00
2019,Public Safety,Emergency Communications,Communications Center,M036-701,Emergency Communicat Dir,163353.00
2019,Public Safety,Emergency Communications,Communications Center,C508-001,Emergency Telecom Dispatcher,67576.00
2019,Public Safety,Emergency Communications,Communications Center,C508-002,Emergency Telecom Dispatcher,56082.00
2019,Public Safety,Emergency Communications,Communications Center,C508-003,Emergency Telecom Dispatcher,62471.00
2019,Public Safety,Emergency Communications,Communications Center,C508-004,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-005,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-006,Emergency Telecom Dispatcher,68126.00
2019,Public Safety,Emergency Communications,Communications Center,C508-007,Emergency Telecom Dispatcher,67576.00
2019,Public Safety,Emergency Communications,Communications Center,C508-008,Emergency Telecom Dispatcher,62691.00
2019,Public Safety,Emergency Communications,Communications Center,C508-009,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-010,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-011,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-012,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-013,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-015,Emergency Telecom Dispatcher,57450.00
2019,Public Safety,Emergency Communications,Communications Center,C508-016,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-017,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-018,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-020,Emergency Telecom Dispatcher,67576.00
2019,Public Safety,Emergency Communications,Communications Center,C508-021,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-022,Emergency Telecom Dispatcher,68126.00
2019,Public Safety,Emergency Communications,Communications Center,C508-023,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-025,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-029,Emergency Telecom Dispatcher,67576.00
2019,Public Safety,Emergency Communications,Communications Center,C508-032,Emergency Telecom Dispatcher,67826.00
2019,Public Safety,Emergency Communications,Communications Center,C508-033,Emergency Telecom Dispatcher,67576.00
2019,Public Safety,Emergency Communications,Communications Center,C508-034,Emergency Telecom Dispatcher,53301.00
2019,Public Safety,Emergency Communications,Communications Center,C508-035,Emergency Telecom Dispatcher,57450.00
2019,Public Safety,Emergency Communications,Communications Center,c508-037,Emergency Telecom Dispatcher,50858.00
2019,Public Safety,Emergency Communications,Communications Center,C507-002,Fire Alarm Operator,67576.00
2019,Public Safety,Emergency Communications,Public Safety IT,M369-701,Application & Database Manager,118109.00
2019,Public Safety,Emergency Communications,Public Safety IT,M129-701,Asst. Dir. of Public Safety IT,137660.00
2019,Public Safety,Emergency Communications,Public Safety IT,M142-702,Enterprise Applications Specia,109328.00
2019,Public Safety,Emergency Communications,Public Safety IT,M322-701,Infrastructure Manager,118102.00
2019,Public Safety,Emergency Communications,Public Safety IT,M317-701,Mgr of Public Safety Tech.Supp,109328.00
2019,Public Safety,Emergency Communications,Public Safety IT,M127-701,Public Safety Tech.Sup.Spec.,80909.00
2019,Public Safety,Emergency Communications,Public Safety IT,M127-702,Public Safety Tech.Sup.Spec.,81434.00
2019,Public Safety,Police,Patrol,P465-094,Police Officer,91565.00
2019,Public Safety,Emergency Communications,Public Safety IT,M319-701,Radio Telecomm/Sr. Sys. Admin.,109321.00
2019,Public Safety,Emergency Communications,Public Safety IT,M324-701,Radio Telecommunications Mgr.,118102.00
2019,Public Safety,Emergency Communications,Public Safety IT,M320-703,"System Administrator, Level 1",93556.00
2019,Public Safety,Emergency Communications,Public Safety IT,M323-701,Technical Support Specialist,87894.00
2019,Public Safety,Fire,Headquarters & Fire Stations,C120-001,Admin Asst/Emerg Management,52019.00
2019,Public Safety,Fire,Headquarters & Fire Stations,M016-702,Admin Asst/Fire Dept,64203.00
2019,Public Safety,Fire,Headquarters & Fire Stations,M520-001,Admin Officer/Fire,186934.00
2019,Public Safety,Fire,Headquarters & Fire Stations,M520-002,Admin Officer/Fire,186934.00
2019,Public Safety,Fire,Headquarters & Fire Stations,M175-008,Budget Analyst,59748.00
2019,Public Safety,Fire,Headquarters & Fire Stations,R504-001,Fire Apparatus Repair,73585.00
2019,Public Safety,Fire,Headquarters & Fire Stations,R504-002,Fire Apparatus Repair,73585.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-001,Fire Captain,100539.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-002,Fire Captain,100093.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-003,Fire Captain,100837.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-004,Fire Captain,101253.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-006,Fire Captain,101208.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-007,Fire Captain,101208.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-008,Fire Captain,100871.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-008,Fire Captain,100871.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-012,Fire Captain,101208.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-013,Fire Captain,101253.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-014,Fire Captain,100279.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-016,Fire Captain,100794.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-017,Fire Captain,100093.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-018,Fire Captain,100794.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-019,Fire Captain,101253.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-020,Fire Captain,101208.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-021,Fire Captain,101253.00
2019,Public Safety,Fire,Headquarters & Fire Stations,O501-001,Fire Chief,220554.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-001,Fire Deputy Chief,118691.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-003,Fire Deputy Chief,119122.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-006,Fire Deputy Chief,118637.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-007,Fire Deputy Chief,118691.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-008,Fire Deputy Chief,119122.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-009,Fire Deputy Chief,119122.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-010,Fire Deputy Chief,118725.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-012,Fire Deputy Chief,119122.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-014,Fire Deputy Chief,119167.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-015,Fire Deputy Chief,118725.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F502-016,Fire Deputy Chief,119122.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-001,Fire Fighter,71730.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-002,Fire Fighter,71869.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-003,Fire Fighter,71675.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-004,Fire Fighter,67628.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-005,Fire Fighter,71508.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-007,Fire Fighter,71887.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-008,Fire Fighter,71869.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-009,Fire Fighter,57883.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-010,Fire Fighter,71508.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-011,Fire Fighter,57681.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-012,Fire Fighter,72320.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-014,Fire Fighter,71730.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-015,Fire Fighter,72286.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-016,Fire Fighter,71887.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-017,Fire Fighter,66466.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-019,Fire Fighter,72286.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-020,Fire Fighter,72320.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-021,Fire Fighter,71887.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-023,Fire Fighter,72286.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-024,Fire Fighter,71743.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-026,Fire Fighter,72608.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-027,Fire Fighter,71730.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-028,Fire Fighter,72608.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-029,Fire Fighter,71508.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-031,Fire Fighter,71508.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-034,Fire Fighter,72564.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-035,Fire Fighter,71508.00
2019,Public Safety,Fire,Headquarters & Fire Stations,F506-036,Fire Fighter,72320.00
